card,mu,sig,outlier
Bureaucrat,7.0095247609872695,4.089244615230247,false
Festival,1.2157022419238188,1.3377810381942556,false
Gardens,0.08289767442899636,0.2134192553050787,false
Laboratory,0.13902982122693622,0.7935415566077597,false
Market,0.004910576667454347,0.10980722411320154,false
Moneylender,0.45626874911753484,0.9033870783093876,false
Remodel,0.034199043236485614,0.20057089497621175,false
Smithy,0.915730531213835,2.252041785338928,false
Thief,0.17705617060052287,0.4409401195773582,false
Village,0.00332717510585512,0.04515815829469422,false
Witch,8.416114793741563,3.122291571123199,false
Woodcutter,0.45375274625430706,0.2942077329224474,false
